name,url
Howl at the Moon Milwaukee,https://www.yelp.com/biz/howl-at-the-moon-milwaukee-milwaukee-2
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3
The Tin Widow,https://www.yelp.com/biz/the-tin-widow-milwaukee-2
The Rooftop,https://www.yelp.com/biz/the-rooftop-milwaukee
The Pharmacy Bar,https://www.yelp.com/biz/the-pharmacy-bar-milwaukee
Drunken Cobra,https://www.yelp.com/biz/drunken-cobra-wauwatosa
Campsite 131,https://www.yelp.com/biz/campsite-131-milwaukee
Sobelman’s Pub & Grill,https://www.yelp.com/biz/sobelmans-pub-and-grill-milwaukee
The Outsider,https://www.yelp.com/biz/the-outsider-milwaukee
Camp Bar Third Ward,https://www.yelp.com/biz/camp-bar-third-ward-milwaukee
Swingin’ Door Exchange,https://www.yelp.com/biz/swingin-door-exchange-milwaukee
Shanghai,https://www.yelp.com/biz/shanghai-milwaukee
Bryant’s Cocktail Lounge,https://www.yelp.com/biz/bryants-cocktail-lounge-milwaukee
Nine Below,https://www.yelp.com/biz/nine-below-milwaukee
Up-Down Milwaukee,https://www.yelp.com/biz/up-down-milwaukee-milwaukee-2
Lost Whale,https://www.yelp.com/biz/lost-whale-milwaukee
The Drunk Uncle,https://www.yelp.com/biz/the-drunk-uncle-west-allis
City Lights Brewing,https://www.yelp.com/biz/city-lights-brewing-milwaukee
Boone and Crockett,https://www.yelp.com/biz/boone-and-crockett-milwaukee
Foundation,https://www.yelp.com/biz/foundation-milwaukee
The Sofie,https://www.yelp.com/biz/the-sofie-milwaukee
Tiki Bar MKE Public Market,https://www.yelp.com/biz/tiki-bar-mke-public-market-milwaukee
Who’s On Third,https://www.yelp.com/biz/whos-on-third-milwaukee
Kelly’s Bleachers,https://www.yelp.com/biz/kellys-bleachers-milwaukee
Gin Rickey,https://www.yelp.com/biz/gin-rickey-milwaukee
Dugout 54,https://www.yelp.com/biz/dugout-54-milwaukee
NorthSouth Club,https://www.yelp.com/biz/northsouth-club-milwaukee
Blu,https://www.yelp.com/biz/blu-milwaukee
Milwaukee Brat House,https://www.yelp.com/biz/milwaukee-brat-house-milwaukee
Lakefront Brewery,https://www.yelp.com/biz/lakefront-brewery-milwaukee
Conway’s Smokin’ Bar & Grill,https://www.yelp.com/biz/conways-smokin-bar-and-grill-milwaukee
Eagle Park Brewing,https://www.yelp.com/biz/eagle-park-brewing-milwaukee
At Random,https://www.yelp.com/biz/at-random-milwaukee
The Social American Tavern,https://www.yelp.com/biz/the-social-milwaukee-2
J&B’s Sports Bar & Blue Ribbon Taproom,https://www.yelp.com/biz/j-and-bs-sports-bar-and-blue-ribbon-taproom-milwaukee-2
Station No. 06,https://www.yelp.com/biz/station-no-06-west-allis
Caroline’s Jazz Club,https://www.yelp.com/biz/carolines-jazz-club-milwaukee
Milwaukee Brewing Company,https://www.yelp.com/biz/milwaukee-brewing-company-milwaukee-2
