restaurant_name,restaurant_url,review_url_location,review_page_number,star_rating,review_lang,review_date,review_text,word_count,char_count,reviewer_name,reviewer_location,reviewer_friend_count,reviewer_review_count,reviewer_photo_count,reviewer_has_profile_image
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,1,1.0,en,1/30/2022,"Guy at front is extremely rude, I know it's for comedy but he was extremely disrespectful to me and my friends.",21,111,Amanda W.,"Downer Woods, Milwaukee, WI",0,1,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,1,1.0,en,7/14/2020,"I Didn't feel welcome.... had 2 drinks and left. Not sure if this place is meant for ""us""",18,89,Lamar K.,"Richmond, TX",91,24,4,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,1,1.0,en,7/9/2019,"Came from out of town to visit. Highly disappointed. Waited several minutes to be seated. Waited at least 15 minutes for someone to come bring us water. Waited another 15 minutes and then left. Nobody took our order, nobody cared.",40,230,Melissa W.,"Mesa, AZ",0,27,14,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,1,1.0,en,3/2/2019,Very rude door man on Friday 3-1-2019. I wont be coming back.,12,61,Bill L.,"Brookfield, WI",0,1,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,1,1.0,en,2/24/2019,"I searched bars open until 4, as a promotion yelp. And this place closed 2.5 hours ago.",17,87,Katie H.,"Chicago, IL",86,4,0,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,1,1.0,en,1/2/2019,"BWARE,OVER PRICED skimpy portion dinners,& rude workers at this clip joint.!!!",11,78,Jeff E.,"Hubertus, WI",0,1,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,1,1.0,en,11/8/2015,"Great setting, horrible food. Best to have a drink in the bar and leave.",14,72,John R.,"Milwaukee, WI",0,17,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,1,1.0,en,3/30/2014,"This place is garbage. Read my tip if they don't delete it. The manager and staff that scared and intimidated my kids your so lucky you didn't get a beat down. You definitely deserved it. Overall the worst food ever do yourself a favor don't go there, food poisoning at McDonald's is a better option.",55,300,Bruce B.,"Lake Villa, IL",79,40,2,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,1,1.0,en,1/23/2012,"I'm surprised this place has so many good reviews...but then again, not.  The whole schtick must captivate people.  It is fun your first time, it is fun/ny watching the camera screens in the bar, watching people trying to get in, but the food not only sucks - but it's ridiculously overpriced.  I've been here a handful of times from childhood to my adult life.  I will never go back unless I need to entertain a kid and this place just seems to be the answer.  You don't go here for the food.",92,493,Patrick B.,"Milwaukee, WI",0,67,21,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,1,1.0,en,1/21/2011,"The Safehouse is a schizophrenic's concept of an Applebee's, forged into the fabric of reality.",15,95,Matt B.,"Milwaukee, WI",128,59,3,1
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,2,2.0,en,3/27/2020,"I want to give them the benefit of the doubt, since we happened to go on a pretty busy night, but I had a bad experience at SafeHouse. First off, I would not go here if you have any qualms at all about embarrassing yourself. I realize that's kind of the name of the game, but the challenge we did felt very awkward, host was pretty callous about it, so overall me and my partner were just uncomfortable by the end of it. When it came time to order some food, it took well over an hour to arrive. Server seemed pretty over it the entire time, which I understand, but it was nearly impossible to communicate anything. The salad I got was pretty weak, soggy lettuce etc. Maybe it was a bad night, or just simply not my thing, but I wouldn't come back. The idea and layout of the place was cool, at least.",156,801,Emily G.,"Milwaukee, WI",0,6,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,2,2.0,en,1/23/2019,Fun experience but the the food was not the greatest. I'm guessing most go here for the fun though. I would consider going back but only for drinks as they seemed to have a nice bar.,36,182,Victoria M.,"Milwaukee, WI",0,3,0,0
SafeHouse,https://www.yelp.com/biz/safehouse-milwaukee-3,https://www.yelp.com/not_recommended_reviews/safehouse-milwaukee-3?not_recommended_start=0,2,2.0,en,8/17/2016,"Food was O.K. nothing to write home about.  I went with a group of six and no one was crazy about their dinner.  We also went for a New Years event that advertised open bars, champagne toasts, etc... we never located the open bar even after asking a couple employees.  However, the decor is really neat, and is fun to explore.",61,326,Andi M.,"Milwaukee, WI",0,19,0,0
